Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);CO 8h - Air Quality;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 - Air Quality;NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM10 - Air Quality;PM2,5 (µg/m3);PM2,5 - Air Quality;Tolueno (µg/m3);ICA Estación
01/10/2016;0,11;;0,19;Muy buena / Oso ona;0,04;4;26;Muy buena / Oso ona;20;;13;Muy buena / Oso ona;6;Muy buena / Oso ona;;Muy buena / Oso ona
30/09/2016;0,71;;0,41;Muy buena / Oso ona;1,1;;73;Buena / Ona;63;4,62;29;Buena / Ona;12;Muy buena / Oso ona;3,59;Buena / Ona
29/09/2016;0,32;;;Sin datos / Daturik gabe;0,72;;84;Buena / Ona;42;2,46;20;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Buena / Ona
28/09/2016;0,31;;0,23;Muy buena / Oso ona;0,19;8;73;Buena / Ona;35;;7;Muy buena / Oso ona;4;Muy buena / Oso ona;1,25;Buena / Ona
27/09/2016;0,57;;;Sin datos / Daturik gabe;0,22;10;51;Buena / Ona;41;0,9;13;Muy buena / Oso ona;7;Muy buena / Oso ona;1,75;Buena / Ona
26/09/2016;0,3;;0,24;Muy buena / Oso ona;0,39;10;43;Muy buena / Oso ona;41;1,61;19;Muy buena / Oso ona;6;Muy buena / Oso ona;1,11;Muy buena / Oso ona
25/09/2016;0,21;;0,31;Muy buena / Oso ona;0,06;;38;Muy buena / Oso ona;16;;19;Muy buena / Oso ona;6;Muy buena / Oso ona;0,45;Muy buena / Oso ona
24/09/2016;0,47;;0,31;Muy buena / Oso ona;0,48;8;92;Buena / Ona;47;1,81;22;Muy buena / Oso ona;9;Muy buena / Oso ona;1,99;Buena / Ona
23/09/2016;0,38;;0,29;Muy buena / Oso ona;0,31;8;68;Buena / Ona;42;;19;Muy buena / Oso ona;8;Muy buena / Oso ona;1,3;Buena / Ona
22/09/2016;0,29;;0,23;Muy buena / Oso ona;0,17;;53;Buena / Ona;32;0,41;20;Muy buena / Oso ona;10;Muy buena / Oso ona;1,02;Buena / Ona
21/09/2016;0,39;;0,24;Muy buena / Oso ona;0,58;11;73;Buena / Ona;43;2,17;17;Muy buena / Oso ona;10;Muy buena / Oso ona;1,69;Buena / Ona
20/09/2016;0,2;;0,24;Muy buena / Oso ona;0,18;;42;Muy buena / Oso ona;28;0,59;11;Muy buena / Oso ona;7;Muy buena / Oso ona;0,9;Muy buena / Oso ona
19/09/2016;0,22;;0,28;Muy buena / Oso ona;0,24;17;51;Buena / Ona;46;0,81;13;Muy buena / Oso ona;7;Muy buena / Oso ona;0,98;Buena / Ona
18/09/2016;;;0,17;Muy buena / Oso ona;0,11;;35;Muy buena / Oso ona;15;;10;Muy buena / Oso ona;4;Muy buena / Oso ona;;Muy buena / Oso ona
17/09/2016;;;;Sin datos / Daturik gabe;0,04;;24;Muy buena / Oso ona;13;;11;Muy buena / Oso ona;3;Muy buena / Oso ona;0,26;Muy buena / Oso ona
16/09/2016;;;;Sin datos / Daturik gabe;0,24;;47;Muy buena / Oso ona;17;;7;Muy buena / Oso ona;3;Muy buena / Oso ona;;Muy buena / Oso ona
15/09/2016;;;;Sin datos / Daturik gabe;0,05;;11;Muy buena / Oso ona;8;;6;Muy buena / Oso ona;2;Muy buena / Oso ona;;Muy buena / Oso ona
14/09/2016;;;;Sin datos / Daturik gabe;0,16;;41;Muy buena / Oso ona;24;;8;Muy buena / Oso ona;3;Muy buena / Oso ona;;Muy buena / Oso ona
13/09/2016;;;;Sin datos / Daturik gabe;0,05;;30;Muy buena / Oso ona;15;;19;Muy buena / Oso ona;6;Muy buena / Oso ona;;Muy buena / Oso ona
12/09/2016;0,38;;0,35;Muy buena / Oso ona;0,38;;70;Buena / Ona;34;1,48;30;Buena / Ona;14;Muy buena / Oso ona;1,69;Buena / Ona
11/09/2016;0,2;;0,21;Muy buena / Oso ona;0,08;;31;Muy buena / Oso ona;21;;18;Muy buena / Oso ona;11;Muy buena / Oso ona;0,78;Muy buena / Oso ona
10/09/2016;0,38;;0,19;Muy buena / Oso ona;0,35;7;58;Buena / Ona;35;1,36;21;Muy buena / Oso ona;9;Muy buena / Oso ona;1,07;Buena / Ona
09/09/2016;0,18;;0,19;Muy buena / Oso ona;0,1;6;31;Muy buena / Oso ona;27;;19;Muy buena / Oso ona;7;Muy buena / Oso ona;0,72;Muy buena / Oso ona
08/09/2016;0,15;;0,22;Muy buena / Oso ona;0,05;5;36;Muy buena / Oso ona;24;;14;Muy buena / Oso ona;5;Muy buena / Oso ona;0,37;Muy buena / Oso ona
07/09/2016;0,56;;0,33;Muy buena / Oso ona;0,55;15;82;Buena / Ona;53;2,24;41;Buena / Ona;17;Buena / Ona;2,85;Buena / Ona
06/09/2016;0,41;;0,29;Muy buena / Oso ona;0,32;16;70;Buena / Ona;64;0,85;28;Buena / Ona;13;Muy buena / Oso ona;1,8;Buena / Ona
05/09/2016;0,69;;0,31;Muy buena / Oso ona;0,22;16;72;Buena / Ona;52;0,79;34;Buena / Ona;15;Muy buena / Oso ona;2,56;Buena / Ona
04/09/2016;0,35;;0,28;Muy buena / Oso ona;0,25;3;45;Muy buena / Oso ona;31;0,64;31;Buena / Ona;17;Buena / Ona;1,42;Buena / Ona
03/09/2016;0,19;;0,27;Muy buena / Oso ona;0,22;;38;Muy buena / Oso ona;27;0,51;23;Muy buena / Oso ona;12;Muy buena / Oso ona;0,94;Muy buena / Oso ona
02/09/2016;0,38;;0,3;Muy buena / Oso ona;0,21;;60;Buena / Ona;45;;27;Buena / Ona;12;Muy buena / Oso ona;1,64;Buena / Ona
01/09/2016;0,23;;0,26;Muy buena / Oso ona;0,18;;60;Buena / Ona;41;;20;Muy buena / Oso ona;10;Muy buena / Oso ona;1,16;Buena / Ona
31/08/2016;;;0,23;Muy buena / Oso ona;;;44;Muy buena / Oso ona;29;;18;Muy buena / Oso ona;10;Muy buena / Oso ona;;Muy buena / Oso ona
30/08/2016;;;;Sin datos / Daturik gabe;;;24;Muy buena / Oso ona;18;;14;Muy buena / Oso ona;8;Muy buena / Oso ona;;Muy buena / Oso ona
29/08/2016;;;0,16;Muy buena / Oso ona;0,04;;21;Muy buena / Oso ona;18;;11;Muy buena / Oso ona;3;Muy buena / Oso ona;;Muy buena / Oso ona
