Fecha Modificación;Fecha Descarga;Cód. Puesto;Dotación;Puesto;Cód. Departamento-Organismo Autónomo;Departamento-Organismo Autónomo;Cód. Centro Orgánico;Centro Orgánico;Cód. Centro Destino;Centro Destino;Categoria Retributiva;Perfil Lingüístico;Fecha de Preceptividad;Importe retributivo
09/05/2016;09/02/2017;3052;6;LIMPIADOR/A;01;LEHENDAKARITZA;011400000000;DIRECCION DE SERVICIOS;001106;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;1;01;;22.155,70
09/05/2016;09/02/2017;3052;7;LIMPIADOR/A;01;LEHENDAKARITZA;011400000000;DIRECCION DE SERVICIOS;001106;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;1;01;;22.155,70
09/05/2016;09/02/2017;3052;8;LIMPIADOR/A;01;LEHENDAKARITZA;011400000000;DIRECCION DE SERVICIOS;001106;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;1;01;;22.155,70
09/05/2016;09/02/2017;3061;1;TECNICO DE MANTENIMIENTO;01;LEHENDAKARITZA;011400000000;DIRECCION DE SERVICIOS;001106;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;6;02;;29.041,18
09/05/2016;09/02/2017;3061;2;TECNICO DE MANTENIMIENTO;01;LEHENDAKARITZA;011400000000;DIRECCION DE SERVICIOS;001106;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;6;02;31/10/1994;29.041,18
09/05/2016;09/02/2017;3427;1;ORDENANZA MANTENIMIENTO;01;LEHENDAKARITZA;011400000000;DIRECCION DE SERVICIOS;000304;PALACIO ARTAZA;2;01;31/10/2000;23.612,82
09/05/2016;09/02/2017;3459;1;CONDUCTOR DE DEPARTAMENTO;01;LEHENDAKARITZA;011400000000;DIRECCION DE SERVICIOS;001106;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;6;01;31/03/2014;29.041,18
09/05/2016;09/02/2017;3459;2;CONDUCTOR DE DEPARTAMENTO;01;LEHENDAKARITZA;011400000000;DIRECCION DE SERVICIOS;001106;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;6;01;;29.041,18
09/05/2016;09/02/2017;3179;1;TECNICO IMAGEN;01;LEHENDAKARITZA;011500000000;DIRECCIÓN DE GOBIERNO ABIERTO;001106;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;10;02;31/03/2007;36.704,96
09/05/2016;09/02/2017;3542;1;TECNICO ESPECIALISTA DE ACCION EXTERIOR;01;LEHENDAKARITZA;012100000000;DIRECCION DE RELACIONES EXTERIORES;001106;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;16;03;;61.785,12
