dia_Id,Dia;hora_Id,Hora,dia_Id;Dir.Med._a_1100cm,Humedad._a_620cm,Irradia.._a_200cm,Presion._a_150cm,Sig.Dir._a_1100cm,Sig.Vel._a_1100cm,Tem.Aire._a_620cm,Vel.Max._a_1100cm,Vel.Med._a_1100cm,hora_Id
"0,""2016-8-01""";"0,""00:00"",0";"25.21,""91.0"",""0.4"",""959.3"",""16.51"",""0.73"",""15.66"",""3.53"",""2.14"",0"
"0,""2016-8-01""";"1,""00:10"",0";"29.79,""91.6"",""0.75"",""959.26"",""23.42"",""0.65"",""15.77"",""2.74"",""1.15"",1"
"0,""2016-8-01""";"2,""00:20"",0";"36.44,""91.4"",""0.36"",""959.19"",""33.33"",""0.64"",""15.9"",""2.65"",""1.04"",2"
"0,""2016-8-01""";"3,""00:30"",0";"22.43,""91.5"",""0.46"",""959.12"",""11.27"",""0.29"",""15.83"",""1.27"",""0.46"",3"
"0,""2016-8-01""";"4,""00:40"",0";"11.4,""91.4"",""0.33"",""959.13"",""11.99"",""0.23"",""15.81"",""1.18"",""0.54"",4"
"0,""2016-8-01""";"5,""00:50"",0";"53.09,""91.3"",""0.18"",""959.1"",""13.17"",""0.24"",""15.82"",""0.98"",""0.42"",5"
"0,""2016-8-01""";"6,""01:00"",0";"357.2,""91.1"",""0.18"",""959.04"",""14.46"",""0.32"",""15.81"",""1.67"",""0.72"",6"
"0,""2016-8-01""";"7,""01:10"",0";"38.63,""90.8"",""0.25"",""958.92"",""10.87"",""0.31"",""15.8"",""1.47"",""0.65"",7"
"0,""2016-8-01""";"8,""01:20"",0";"342.5,""90.2"",""0.26"",""958.83"",""22.66"",""0.3"",""15.87"",""1.08"",""0.46"",8"
"0,""2016-8-01""";"9,""01:30"",0";"330.8,""90.0"",""0.36"",""958.79"",""32.29"",""0.38"",""15.85"",""1.67"",""0.45"",9"
"0,""2016-8-01""";"10,""01:40"",0";"287.8,""90.2"",""0.33"",""958.7"",""15.45"",""0.39"",""15.77"",""2.35"",""1.38"",10"
"0,""2016-8-01""";"11,""01:50"",0";"313.1,""90.6"",""0.11"",""958.72"",""26.04"",""0.44"",""15.7"",""1.86"",""0.72"",11"
"0,""2016-8-01""";"12,""02:00"",0";"346.1,""90.8"",""0.18"",""958.66"",""16.54"",""0.23"",""15.72"",""0.88"",""0.29"",12"
"0,""2016-8-01""";"13,""02:10"",0";"13.09,""91.0"",""0.22"",""958.64"",""5.09"",""0.2"",""15.66"",""0.78"",""0.22"",13"
"0,""2016-8-01""";"14,""02:20"",0";"35.39,""91.0"",""0.32"",""958.6"",""11.98"",""0.15"",""15.69"",""0.69"",""0.33"",14"
"0,""2016-8-01""";"15,""02:30"",0";"28.07,""91.1"",""0.35"",""958.61"",""15.05"",""0.18"",""15.7"",""0.78"",""0.14"",15"
"0,""2016-8-01""";"16,""02:40"",0";"350.0,""91.1"",""0.22"",""958.48"",""3.52"",""0.21"",""15.64"",""0.98"",""0.23"",16"
"0,""2016-8-01""";"17,""02:50"",0";"306.6,""91.3"",""0.28"",""958.37"",""37.02"",""0.45"",""15.53"",""1.86"",""0.59"",17"
"0,""2016-8-01""";"18,""03:00"",0";"299.0,""91.9"",""0.23"",""958.36"",""23.68"",""0.61"",""15.16"",""2.65"",""1.23"",18"
"0,""2016-8-01""";"19,""03:10"",0";"303.7,""92.9"",""0.26"",""958.42"",""20.16"",""0.5"",""14.87"",""1.96"",""1.07"",19"
"0,""2016-8-01""";"20,""03:20"",0";"327.8,""93.4"",""0.54"",""958.42"",""21.23"",""0.51"",""14.93"",""2.25"",""0.87"",20"
"0,""2016-8-01""";"21,""03:30"",0";"318.2,""93.3"",""0.83"",""958.44"",""20.89"",""0.31"",""15.02"",""1.67"",""0.91"",21"
"0,""2016-8-01""";"22,""03:40"",0";"347.0,""93.1"",""0.56"",""958.44"",""33.57"",""0.27"",""15.04"",""1.18"",""0.37"",22"
"0,""2016-8-01""";"23,""03:50"",0";"321.0,""92.8"",""0.63"",""958.43"",""18.48"",""0.31"",""15.14"",""1.18"",""0.47"",23"
"0,""2016-8-01""";"24,""04:00"",0";"321.0,""92.2"",""1.01"",""958.4"",""17.69"",""0.36"",""15.25"",""1.37"",""0.47"",24"
"0,""2016-8-01""";"25,""04:10"",0";"334.5,""91.3"",""0.92"",""958.34"",""9.8"",""0.25"",""15.24"",""0.88"",""0.33"",25"
"0,""2016-8-01""";"26,""04:20"",0";"3.96,""90.6"",""1.13"",""958.37"",""9.47"",""0.18"",""15.29"",""0.88"",""0.15"",26"
"0,""2016-8-01""";"27,""04:30"",0";"301.4,""89.9"",""0.96"",""958.45"",""18.99"",""0.32"",""15.35"",""1.18"",""0.27"",27"
"0,""2016-8-01""";"28,""04:40"",0";"297.1,""89.3"",""1.93"",""958.53"",""13.04"",""0.33"",""15.33"",""1.47"",""0.28"",28"
"0,""2016-8-01""";"29,""04:50"",0";"320.2,""89.0"",""1.64"",""958.56"",""26.51"",""0.18"",""15.44"",""0.88"",""0.17"",29"
"0,""2016-8-01""";"30,""05:00"",0";"5.21,""88.5"",""1.98"",""958.63"",""10.07"",""0.22"",""15.44"",""0.88"",""0.35"",30"
"0,""2016-8-01""";"31,""05:10"",0";"358.5,""88.0"",""2.62"",""958.65"",""11.61"",""0.23"",""15.56"",""0.98"",""0.35"",31"
"0,""2016-8-01""";"32,""05:20"",0";"342.7,""88.2"",""3.51"",""958.71"",""10.35"",""0.4"",""15.41"",""1.67"",""0.72"",32"
"0,""2016-8-01""";"33,""05:30"",0";"332.5,""89.7"",""2.97"",""958.79"",""30.84"",""0.48"",""15.31"",""2.16"",""1.02"",33"
"0,""2016-8-01""";"34,""05:40"",0";"346.3,""91.0"",""4.71"",""958.87"",""15.07"",""0.5"",""15.2"",""3.04"",""1.71"",34"
"0,""2016-8-01""";"35,""05:50"",0";"342.4,""92.7"",""7.43"",""958.91"",""15.04"",""0.57"",""15.1"",""2.74"",""1.33"",35"
"0,""2016-8-01""";"36,""06:00"",0";"17.87,""93.5"",""19.41"",""958.85"",""24.94"",""0.45"",""15.08"",""1.96"",""0.59"",36"
"0,""2016-8-01""";"37,""06:10"",0";"350.3,""93.3"",""34.91"",""958.87"",""24.96"",""0.4"",""15.3"",""1.67"",""0.6"",37"
"0,""2016-8-01""";"38,""06:20"",0";"342.8,""93.1"",""38.27"",""958.87"",""21.26"",""0.36"",""15.43"",""1.67"",""0.88"",38"
"0,""2016-8-01""";"39,""06:30"",0";"342.6,""92.7"",""48.0"",""958.82"",""17.38"",""0.46"",""15.61"",""2.06"",""0.91"",39"
"0,""2016-8-01""";"40,""06:40"",0";"324.7,""92.2"",""83.0"",""958.84"",""27.56"",""0.54"",""15.75"",""2.35"",""1.0"",40"
"0,""2016-8-01""";"41,""06:50"",0";"327.2,""91.7"",""134.4"",""958.85"",""24.92"",""0.48"",""15.89"",""2.06"",""0.87"",41"
"0,""2016-8-01""";"42,""07:00"",0";"334.3,""90.9"",""159.7"",""958.9"",""39.61"",""0.48"",""16.14"",""1.76"",""0.58"",42"
"0,""2016-8-01""";"43,""07:10"",0";"288.2,""90.5"",""194.4"",""958.88"",""27.53"",""0.36"",""15.99"",""2.25"",""1.18"",43"
"0,""2016-8-01""";"44,""07:20"",0";"280.6,""90.2"",""231.0"",""958.88"",""36.7"",""0.65"",""16.0"",""2.55"",""1.03"",44"
"0,""2016-8-01""";"45,""07:30"",0";"282.7,""89.0"",""203.9"",""958.92"",""41.66"",""0.46"",""16.32"",""1.96"",""0.75"",45"
"0,""2016-8-01""";"46,""07:40"",0";"261.9,""87.6"",""249.0"",""958.92"",""23.62"",""0.5"",""16.55"",""2.45"",""0.78"",46"
"0,""2016-8-01""";"47,""07:50"",0";"241.3,""86.7"",""291.0"",""958.91"",""49.3"",""0.73"",""16.63"",""2.45"",""1.01"",47"
"0,""2016-8-01""";"48,""08:00"",0";"283.5,""84.3"",""304.7"",""959.02"",""14.77"",""0.65"",""16.84"",""2.65"",""1.15"",48"
"0,""2016-8-01""";"49,""08:10"",0";"294.2,""82.6"",""282.2"",""958.97"",""70.38"",""0.54"",""17.17"",""2.06"",""0.94"",49"
"0,""2016-8-01""";"50,""08:20"",0";"337.1,""80.3"",""342.1"",""959.05"",""26.45"",""0.65"",""17.61"",""2.65"",""1.04"",50"
"0,""2016-8-01""";"51,""08:30"",0";"323.9,""78.82"",""373.8"",""959.09"",""26.18"",""0.61"",""17.87"",""2.55"",""1.1"",51"
"0,""2016-8-01""";"52,""08:40"",0";"359.7,""77.87"",""360.1"",""959.15"",""36.76"",""0.59"",""17.98"",""2.84"",""1.08"",52"
"0,""2016-8-01""";"53,""08:50"",0";"18.44,""77.35"",""520.1"",""959.08"",""17.06"",""0.56"",""17.95"",""3.04"",""1.13"",53"
"0,""2016-8-01""";"54,""09:00"",0";"324.4,""75.5"",""500.9"",""959.01"",""52.14"",""0.58"",""18.36"",""2.84"",""1.02"",54"
"0,""2016-8-01""";"55,""09:10"",0";"342.6,""73.98"",""387.1"",""959.02"",""18.82"",""0.6"",""18.75"",""2.84"",""1.0"",55"
"0,""2016-8-01""";"56,""09:20"",0";"25.45,""73.6"",""379.9"",""959.09"",""70.11"",""0.61"",""18.73"",""2.55"",""0.72"",56"
"0,""2016-8-01""";"57,""09:30"",0";"329.3,""71.32"",""402.6"",""959.1"",""39.23"",""0.89"",""19.16"",""3.92"",""1.34"",57"
"0,""2016-8-01""";"58,""09:40"",0";"32.95,""72.2"",""439.4"",""959.14"",""16.5"",""0.58"",""18.76"",""3.14"",""1.39"",58"
"0,""2016-8-01""";"59,""09:50"",0";"27.39,""68.48"",""737.8"",""959.15"",""27.47"",""1.0"",""19.55"",""4.9"",""1.44"",59"
