Estado de contrato;Poder adjudicador;Entidad impulsora;Código de contrato;Título;Tipo de contrato;Adjudicatario;Importe de adjudicación con IVA;Fecha de formalización
Ejecución;Gobierno Vasco;Empleo y Políticas Sociales;F-004-DEPS2016326_00000000000000000000001;Servicios de Traducción e Interpretación del IVAP;Servicios;INSTITUTO VASCO DE ADMIMNISTRACIÓN PÚBLICA;5454;19/04/2016
Ejecución;Gobierno Vasco;Empleo y Políticas Sociales;M-057-DEPS2016326_00000000000000000000001;La realización de un análisis comparado de modelos de relaciones laborales en Europa;Servicios;DELOITTE ADVISORY, S.L.;21768;19/04/2016
Ejecución;Gobierno Vasco;Empleo y Políticas Sociales;M-056-DEPS2016326_00000000000000000000001;La grabación del documental ASYLUM;Servicios;AIER GARCIA MATIAS;21704;19/04/2016
Ejecución;Gobierno Vasco;Instituto Vasco de Administración Pública;2016/009332_00000000000000000000001;Prestación de un servicio de vigilancia y seguridad.;Servicios;PROTECCIÓN Y SEGURIDAD TÉCNICA S.A.;3000;19/04/2016
Ejecución;Gobierno Vasco;Medio Ambiente y Política Territorial;102P/2016331_00000000000000000000001;Obras para la separación de suministro de agua y electricidad según los diferentes usuarios del Edificio del Itxas Etxe de Getaria;Obras;E.D.S. INGENIERÍA Y MONTAJES, S.A.;24580;19/04/2016
Ejecución;Gobierno Vasco;Medio Ambiente y Política Territorial;048P/2016331_00000000000000000000001;Redacción del documento de Plan Especial de Ordenación del Puerto de Getaria;Servicios;MANUEL ARRUABARRENA FLOREZ;21175;19/04/2016
Ejecución;Gobierno Vasco;Empleo y Políticas Sociales;M-055-DEPS2016326_00000000000000000000001;La adquisición de un equipo para realizar ensayos de Termografía Infrarroja en edificación.;Suministros;SAFER INSTRUMENTACIÓN S.L.;11641;19/04/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;C.ESCOLARES-ENS-ESP-2016-004328_00000000000000000000001;Cursos de formación en la esuela superior de Arte Dramático y Danza de Euskadi Dantzerti;Servicios;ITZIAR LAZKANO SETIEN;3600;18/04/2016
Ejecución;Gobierno Vasco;Salud;CM 088/2016330_00000000000000000000001;Adquisición reactivos Laboratorio Gipuzkoa;Suministros;Ceeram, S.A.S.;1055;18/04/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;C.ESCOLARES-ENS-ESP-2016-005328_00000000000000000000001;Cursos de formación en la esuela superior de Arte Dramático y Danza de Euskadi Dantzerti;Servicios;PAOLO MOHOVICH;3600;18/04/2016
Ejecución;Gobierno Vasco;Medio Ambiente y Política Territorial;108P/2016331_00000000000000000000001;Producción y  montaje de vinilos en tranvias de Bilbao y Vitoria para campaña ICLEI;Servicios;COMUNICACIONES Y OCIO INTERACTIVO;6835;15/04/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;KM/2016/068/AURREK327_00000000000000000000001;Guía de Salud Infantil desde los Primeros Meses;Servicios;CENTRO GRAFICO GANBOA, S.L.;12130;15/04/2016
Ejecución;Gobierno Vasco;Empleo y Políticas Sociales;M-054-DEPS2016326_00000000000000000000001;La  Asistencia Técnica para las jornadas relativas a la SITUACIÓN Y FUTURO DE LAS PENSIONES PÚBLICAS, que se celebrarán en  BILBAO los  días 25 Y 26 de abril DE 2016;Servicios;FUNDACIÓN JUAN DE LOS TOYOS;6213;15/04/2016
Ejecución;Gobierno Vasco;Salud;CM 087/2016330_00000000000000000000001;Adquisición de reactivos;Suministros;VIDRA FOC, S. A.;16271;15/04/2016
Ejecución;Gobierno Vasco;Seguridad;S0086/2016329_00000000000000000000001;Suministro de material para imprenta de resmas de papel offset, cartulinas y autocopiativos;Suministros;ANTALIS IBERIA, S.A.U.;5173;15/04/2016
Ejecución;Gobierno Vasco;Seguridad;E0087/2016329_00000000000000000000001;Piloto de transformación digital de los procesos documentales del SIP;Servicios;IBERMÁTICA, S.A.;21478;15/04/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;KM/2016/063/AURREK327_00000000000000000000001;Discursos Básicos Sobre el Euskera;Servicios;LEITZARAN GRAFIKAK, S.L.;10317;15/04/2016
Ejecución;Gobierno Vasco;Medio Ambiente y Política Territorial;093P/2016331_00000000000000000000001;Reparación instalación de pantalán de remo dañada como consecuencia del temporal del 9 de febrero en el puerto de Bermeo;Obras;ASTILLEROS AMILIBIA UNTZIOLAK, S.L.;23222;14/04/2016
Ejecución;Gobierno Vasco;Empleo y Políticas Sociales;M-053-DEPS2016326_00000000000000000000001;La realización de un estudio cualitativo para desarrollar el marco de las campañas de sensibilización dirigidas a aproximar el Euskera a las ciudadanas y ciudadanos de diversos origenes.;Servicios;TOPAGUNEA EUSKARA ELKARTEEN FEDERAZIOA;21779;14/04/2016
Ejecución;Gobierno Vasco;Presidencia del Gobierno - Lehendakaritza;CM/DS/109/2016323_00000000000000000000001;Desarrollo, difusión y gestión de la iniciativa GAZTE IREKIA III;Servicios;FOOCUZZ, S.L.;13068;14/04/2016
Ejecución;Gobierno Vasco;Seguridad;S0085/2016329_00000000000000000000001;Suministro de drones y piezas de mantenimiento;Suministros;UNMANNED TECHNOLOGY, S.L.;18000;14/04/2016
Ejecución;Gobierno Vasco;Medio Ambiente y Política Territorial;094P/2016331_00000000000000000000001;Suministro de nueva señales marítimas para los puertos de Bizkaia;Suministros;MEDITERRÁNEO SEÑALES MARÍTIMAS, S.L.L.;7417;14/04/2016
Ejecución;EJIE, S.A. - Sociedad Informática del Gobierno Vasco;EJIE-Sociedad Informática del Gobierno Vasco;1604031181_00000000000000000000001;Compra de Material de Limpieza;Suministros;DISTRIBUCIONES Y SUMINISTROS ALAVA, S.L.;12100;14/04/2016
Ejecución;EJIE, S.A. - Sociedad Informática del Gobierno Vasco;EJIE-Sociedad Informática del Gobierno Vasco;1604025181_00000000000000000000001;Colocación de hilo de vida en cubiertas de edificio;Servicios;GLM UNIGEST S.L.;11011;14/04/2016
Ejecución;Gobierno Vasco;Emakunde-Instituto Vasco de la Mujer;CM 18/2016336_00000000000000000000001;Creación de una Red de entidades colaboradoras para la igualdad de mujeres y hombres en la CAE;Servicios;MIREN MAITANE URBIERTA FERNANDEZ;21768;14/04/2016
Ejecución;Gobierno Vasco;Presidencia del Gobierno - Lehendakaritza;CM/DP/106/2016323_00000000000000000000001;Patrocinio de la jornada Gazte Up, organizada por el diario El Correo;Privados;CM Norte, S.L.;14520;13/04/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;FP-122328_00000000000000000000001;jornada F.P.;Servicios;TRADUCTORES E INTÉRPRETES, S.A.;1459;13/04/2016
Ejecución;Gobierno Vasco;Medio Ambiente y Política Territorial;01E-02/2016331_00000000000000000000001;Asistencia técnica para el control de la ejecución de la obra de refuerzo del manto interior del dique de abrigo del puerto de Orio;Servicios;ZURIÑE VILLA IÑURRITA;20570;13/04/2016
Ejecución;Gobierno Vasco;Medio Ambiente y Política Territorial;101P/2016331_00000000000000000000001;Servicio de vigilancia en los puertos de Bermeo y Ondárroa (Del 21 al 26 de abril de 2016);Servicios;GSI Profesionales de la seguridad y sistemas, S.A.;19236;13/04/2016
Ejecución;Gobierno Vasco;Empleo y Políticas Sociales;A-031/DEPS2015326_00000000000000000000001;La ejecución del trabajo de campo de la Encuesta de Pobreza y Desigualdades Sociales 2016.;Servicios;EMAIKER, S.L.;220220;12/04/2016
Ejecución;Gobierno Vasco;Medio Ambiente y Política Territorial;098P/2016331_00000000000000000000001;Patrocinio BIA Urban Regeneration Forum 2016, Bilbao;Privados;COLEGIO OFICIAL DE ARQUITECTOS VASCO-NAVARRO;17999;12/04/2016
Ejecución;EJIE, S.A. - Sociedad Informática del Gobierno Vasco;EJIE-Sociedad Informática del Gobierno Vasco;006/2016181_00000000000000000000001;Contratación de los servicios de migración de los sistemas de costes de transportes (T76, S46). EXPEDIENTE PREPARADO EXCLUSIVAMENTE PARA LICITACIÓN ELECTRÓNICA.;Servicios;EUROHELP CONSULTING, S.L.;62529;12/04/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;2016/003/007327_00000000000000000000001;Compra de un equipo multifunción para la Dirección de Patrimonio y Contratación;Suministros;RICOH ESPAÑA, S.L.U.;4687;12/04/2016
Ejecución;Gobierno Vasco;Empleo y Políticas Sociales;C01/004/2014326_00000000000000000000001;CONSTRUCCIÓN DE 60 ALOJAMIENTOS DOTACIONALES EN ARANGOITI (BILBAO);Obras;CONSTRUCCIONES URRUTIA, S.A.;3475132;12/04/2016
Ejecución;Gobierno Vasco;Medio Ambiente y Política Territorial;100P/2016331_00000000000000000000001;Servicio de vigilancia en los puertos de Bermeo y Ondárroa (Del 15 al 20 de abril de 2016);Servicios;GSI Profesionales de la seguridad y sistemas, S.A.;19236;12/04/2016
Ejecución;Gobierno Vasco;Seguridad;E0086/2016329_00000000000000000000001;Servicio de entrega y retirada de contenedores de mascarillas y guantes;Servicios;SERVICIO CONTENEDORES HIGIENICOS;11048;12/04/2016
Ejecución;Gobierno Vasco;Administración Pública y Justicia;A-001/DAPJ/2016324_00000000000000000000001;Servicio complementario de limpieza y fregado de la vajilla y menaje de cocina de los comedores de la Administración General de la Comunidad Autónoma del País Vasco en Lakua;Servicios;Unión Internacional de Servicios Integrales UNI2 S.A.;48400;12/04/2016
Ejecución;Gobierno Vasco;Presidencia del Gobierno - Lehendakaritza;CM/DP/111/2016323_00000000000000000000001;patrocinio del Curso de verano de la Universidad complutense de Madrid ¿Propuesta de futuro para la convivencia en una Euskadi sin ETA¿;Servicios;FUNDACIÓN GENERAL UNIVERSIDAD COMPLUTENSE DE MADRID;8949;12/04/2016
Ejecución;Gobierno Vasco;Empleo y Políticas Sociales;F-003-DEPS2016326_00000000000000000000001;La asistencia a cursos, seminarios, y congresos del personal del Departamento.;Servicios;INSTITUTO VASCO DE ADMIMNISTRACIÓN PÚBLICA;7372;11/04/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;A-302/16-MOD328_00000000000000000000001;Ceip Mariturri Hlhi (Vitoria-Gasteiz) - Obras necesarias para la retirada de caballón de tierra, desmontaje de vallas y retirada de escaleras metálicas.;Obras;CONSTRUCCIONES ITOLA, S.A.;31801;11/04/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;KM/2016/073/AURREK327_00000000000000000000001;Preparación grupo de enfriamiento de agua nº 1;Servicios;HEMEN KLIMA, S.L.;20691;11/04/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;A-303/16-MOD328_00000000000000000000001;Ceip Mariturri Hlhi (Vitoria-Gasteiz) - Limpieza después de obra en las instalaciones del Edificio.;Suministros;Unión Internacional de Servicios Integrales UNI2 S.A.;11628;11/04/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;A-017/14328_00000000000000000000001;Ies Ekialdea Bhi (Vitoria-Gasteiz) - Proyecto de Ejecución, Dirección de Ejecución y Coordinación de seguridad y salud con relación a las obras de reparación de cubierta, fachadas y estructura.;Servicios;BORJA ANSOTEGUI SARASQUETA;15092;11/04/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;KM/2016/072/AURREK327_00000000000000000000001;Reparación ascensor de Gasteiz, 3;Servicios;SCHINDLER, S.A.;5514;11/04/2016
Ejecución;Gobierno Vasco;Medio Ambiente y Política Territorial;095P/2016331_00000000000000000000001;Estudio de movilidad integral urbana para las capitales de la C.A.P.V.;Servicios;TÁCTICAS ON LINE OVERALIA, S.L.;9680;11/04/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;KM/2016/067/AURREK327_00000000000000000000001;Guías de salud infantil desde el primer año/en edad escolar/en edad preescolar;Servicios;GRÁFICAS CALIMA;17472;11/04/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;KM/2016/071/AURREK327_00000000000000000000001;Ekonomiaz 89;Servicios;GRÁFICAS DOSBI;2579;11/04/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;B-213/16-C.S.S.328_00000000000000000000001;Ies Ibarrekolanda Bhi (Bilbao) - Prestación de servicios de Coordinación en materia de seguridad y salud con relación a las obras de limpieza y sellados de cubierta;Servicios;PRECOIN PREVENCIÓN, S.L.;236;11/04/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;B-214/16-C.S.S.328_00000000000000000000001;Ies Minas Bhi (Barakaldo) - Prestación de servicios de coordinación en materia de seguridad y salud con relación a las obras de trabajos en pared y cubierta en el edificio gimnasio.;Servicios;PREVING CONSULTORES NORTE, S.L.;172;11/04/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;KM/2016/070/AURREK327_00000000000000000000001;Guía para la elaboración del proyecto lingüistico de centro;Servicios;GRÁFICAS DOSBI;5041;11/04/2016
Ejecución;Gobierno Vasco;Instituto Vasco de Administración Pública;2016/008332_00000000000000000000001;Prestación de un servicio de colaboración para el enfoque y diseño del Proyecto Estratégico del IVAP.;Servicios;LKS, S. COOP.;21175;11/04/2016
Ejecución;Gobierno Vasco;Empleo y Políticas Sociales;M-052-DEPS2016326_00000000000000000000001;El Patrocinio de la Fiesta 11 Kolore Feste 2016.;Servicios;EUSKAL11 KOLORE;9000;11/04/2016
Ejecución;Gobierno Vasco;Medio Ambiente y Política Territorial;096P/2016331_00000000000000000000001;Obtención de indicadores del estado de biodiversidad de la CAPV. Programa de Seguimiento de Aves Comunes Reproductoras 2016;Servicios;SOCIEDAD ESPAÑOLA DE ORNITOLOGÍA;17850;11/04/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;PREVENCION 2016/10328_00000000000000000000001;Suministro 10 aparatos de megafonia;Suministros;ELIZABETH JUAN NISTAL-AVANTEAM;2516;11/04/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;A-300/16-MOD328_00000000000000000000001;Ceip Mariturri Hlhi (Vitoria-Gasteiz) - Desmontaje de tres aulas.;Obras;ALGECO CONSTRUCCIONES MODULARES, S.L.;9232;11/04/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;A-301/16-MOD328_00000000000000000000001;Ceip Mariturri Hlhi (Vitoria-Gasteiz) - Obras necesarias para el traslado y montaje de cocina industrial.;Obras;BASILIO ARNAEZ GARCIA DE MADINABEITIA;8165;11/04/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;PREVENCION 2016/11328_00000000000000000000001;Reconocimientos médicos del aparato fonador;Servicios;CARMEN MARQUINEZ PORRES;2750;11/04/2016
Ejecución;Gobierno Vasco;Empleo y Políticas Sociales;A-027/DEPS2015326_00000000000000000000001;la ejecución del trabajo de campo de la Encuesta sobre Oferta Inmobiliaria y la Estadística de Edificación y Vivienda 2016/2017;Servicios;IKERTALDE GRUPO CONSULTOR, S.A.;120514;08/04/2016
Ejecución;Gobierno Vasco;Salud;14/2016-S330_00000000000000000000001;Adquisición de gases, alquiler de equipos y mantenimiento de instalaciones del Laboratorio de Salud Pública de Bizkaia y Gipuzkoa.;Suministros;AIR LIQUIDE MEDICINAL, S.L. UNIPERSONAL;238699;08/04/2016
Ejecución;Gobierno Vasco;Presidencia del Gobierno - Lehendakaritza;CM/DS/105/2016323_00000000000000000000001;Contratación de un Comunity manager para la gestión de la plataforma Basque Global Network;Servicios;ALIANZO NETWORKS ,S.L.;21546;08/04/2016
Ejecución;Gobierno Vasco;Medio Ambiente y Política Territorial;01E-01/2016331_00000000000000000000001;Asistencia técnica para la redacción de proyecto constructivo de refuerzo del manto interior del dique de abrigo de Orio.;Servicios;TÉCNICA Y PROYECTOS, S.A.;6776;08/04/2016
Ejecución;Gobierno Vasco;Seguridad;M-0099/16329_00000000000000000000001;Cracterización meteorológica vertiente mediterránea.;Servicios;FUNDACIÓN TECNALIA RESEARCH & INNOVATION;15730;08/04/2016
Ejecución;Gobierno Vasco;Seguridad;E0085/2016329_00000000000000000000001;Mantenimiento y calibración de cabinas de cianocrilato;Servicios;MIGERTRON SEGURIDAD, S. L.;8289;08/04/2016
Ejecución;Gobierno Vasco;Medio Ambiente y Política Territorial;02E-01/2016331_00000000000000000000001;Asistencia técnica para la redacción del proyecto constructivo de refuerzo del dique de abrigo de Zumaia.;Servicios;TÉCNICA Y PROYECTOS, S.A.;33638;08/04/2016
Ejecución;Gobierno Vasco;Salud;20/2016-S330_00000000000000000000001;Servicio de limpieza de los diferentes edificios y locales dependientes de la Delegación Territorial de Salud de Gipuzkoa.;Servicios;COMERCIAL DE LIMPIEZA VILLAR, S.A.;420027;08/04/2016
Ejecución;Gobierno Vasco;Salud;73/2016-S330_00000000000000000000001;Adquisición de un gestor de indicadores de farmacia comunitaria;Suministros;"Ims Health, S.A.
Ims Health, S.A.";59895;08/04/2016
